,Name,Lat,Lon,Numer_of_Guests,Price_per_night,Accommodation_Type,Star,labels,price_group,location
428,MAIRIE DU XXe PL CONTEMPORARY PARIS CENTER 37m2,48.86333,2.39818,5,109,Entire Place,4.5,19,3,48.86333 2.39818
430,Bedroom near Buttes Chaumont park,48.881,2.38,2,62,Private Rooms,5,11,2,48.881 2.38
431,DESIGN SWEET HOME WITH STANDING VIEW ON ALL PARIS,48.85782,2.38892,8,420,Entire Place,5,19,5,48.85782 2.38892
432,PHILIPPE AUGUSTE 2,48.85875,2.39038,10,550,Entire Place,5,19,5,48.85875 2.39038
433,Paris: charmant deux pièces - Buttes-Chaumont,48.88129,2.38121,4,95,Entire Place,5,11,2,48.88129 2.38121
435,Duplex au pied du Père-Lachaise,48.85797,2.39975,5,85,Entire Place,4.5,19,2,48.85797 2.39975
438,Maisonnette aux Buttes Chaumont!,48.87916,2.37952,2,43,Entire Place,4.5,11,1,48.87916 2.37952
439,Agréable studio très calme au coeur de Paris,48.85365,2.40765,2,58,Entire Place,4.5,19,2,48.85365 2.40765
440,Cosy studio en plein Paris,48.85361,2.40801,1,48,Entire Place,4,19,1,48.85361 2.40801
441,one bed-room 12m2 oriented to south,48.85382,2.40787,1,33,Private Rooms,5,19,1,48.85382 2.40787
444,Nice Bed-Room in Paris center,48.84588,2.35502,2,52,Private Rooms,5,15,2,48.84588 2.35502
445,Nice Studio close to the Pantheon,48.84678,2.34232,2,87,Entire Place,5,15,2,48.84678 2.34232
446,Cosy room under the roofs,48.84569,2.35615,2,35,Entire Place,4.5,1,1,48.84569 2.35615
448,Studio design in Paris 5th,48.84789,2.35568,2,100,Entire Place,4.5,1,2,48.84789 2.35568
449,Charming studio in the heart of the Latin Quarter.,48.8484,2.354,2,118,Entire Place,4.5,15,3,48.8484 2.354
450,Cosy loft in Historical Paris 5th near Notre Dame,48.84749,2.35449,3,115,Entire Place,5,15,3,48.84749 2.35449
451,Saint Germain Lovely 3 Room --- 1 month min.rental,48.84811,2.35398,4,65,Entire Place,4.5,15,2,48.84811 2.35398
452,Bel appartement au Jardin des Plantes,48.84657,2.35482,3,134,Entire Place,4.5,15,3,48.84657 2.35482
453,Modern renovated appt in Latin Area,48.84664,2.34245,4,259,Entire Place,5,15,4,48.84664 2.34245
454,Bright 45 m² in Latin quarter,48.84494,2.35597,2,80,Entire Place,5,15,2,48.84494 2.35597
455,Quiet typical 1 Bedroom Apt Quartier Latin,48.84715,2.35365,3,109,Entire Place,5,15,3,48.84715 2.35365
456,Cosy and quiet flat with mezzanine 8mn Notre-Dame,48.84847,2.35503,2,150,Entire Place,5,1,3,48.84847 2.35503
457,Le petit Panthéon : Cosy 2 pièces au coeur de Paris,48.84746,2.35383,4,142,Entire Place,5,15,3,48.84746 2.35383
458,Appartement neuf dans le Quartier Latin,48.84692,2.35371,4,200,Entire Place,5,15,3,48.84692 2.35371
461,ZEN STUDIO JARDIN DES PLANTES - FREE CANCELLATION,48.84544,2.35451,2,79,Entire Place,5,15,2,48.84544 2.35451
462,At the heart of Paris!,48.84766,2.35476,4,169,Entire Place,5,15,3,48.84766 2.35476
463,F2 48 m²  Paris Centre Rive Gauche,48.8464,2.35607,2,96,Entire Place,4.5,1,2,48.8464 2.35607
464,Quiet Charm at Jardin des Plantes,48.8462,2.35563,4,119,Entire Place,4.5,15,3,48.8462 2.35563
467,SPACIOUS apartment close to NOTRE DAME 6/8 P ?,48.849,2.354,8,536,Entire Place,5,15,5,48.849 2.354
473,Cosy flat facing Jussieu Uni (1 months minimum),48.84551,2.35458,2,53,Entire Place,3.5,15,2,48.84551 2.35458
474,Bail Mobilité 2 pièces - Paris Ile Saint Louis,48.84762,2.35356,2,165,Entire Place,4,15,3,48.84762 2.35356
480,Stylish one bedroom in the heart of Saint Germain,48.8523,2.33947,2,3320,Entire Place,5,15,5,48.8523 2.33947
481,PHILIPPE AUGUSTE 1,48.85879,2.39042,12,630,Entire Place,5,19,5,48.85879 2.39042
486,Maison exceptionnelle 350m2 avec jardin et piscine,48.84346,2.34805,10,4500,Entire Place,5,15,5,48.84346 2.34805
487,Authentique Cosy flat  in Montmartre,48.88544,2.33608,2,4138,Entire Place,4.5,12,5,48.88544 2.33608
490,"LUXURY APPARTMENT 220m2 Champs-Élysées,Montaigne",48.86739,2.30448,5,3121,Entire Place,5,18,5,48.86739 2.30448
498,Sourire Boutique Hôtel Particulier,48.85402,2.27647,16,4000,Entire Place,5,3,5,48.85402 2.27647
503,A dazzling 85sqm with balcony and 2BED located right in the center of Paris,48.86,2.344,6,1541,Entire Place,5,2,5,48.86 2.344
504,Exceptional 3BED apartment in the Marais area with stunning interiors,48.86609,2.35719,6,1446,Entire Place,5,1,5,48.86609 2.35719
505,Spacious 90sqm with 2BED located on the prestigious rue Saint-Honoré,48.867,2.327,6,1479,Entire Place,5,7,5,48.867 2.327
506,My Sky Dome in Paris,48.87005,2.35932,10,1650,Entire Place,5,1,5,48.87005 2.35932
507,Large historical apartment in the heart of Paris,48.8536,2.33979,8,1380,Entire Place,5,15,5,48.8536 2.33979
508,Sweet Inn | Exquisite Apt. with incredible views,48.866,2.303,12,2122,Entire Place,4.5,18,5,48.866 2.303
